	N_M14_3_3_isomerization_model_inj2	Kd_cis	dH_cis_binding	dH_trans_binding	Offset_isomerization_model_inj2
N_M14_3_3_isomerization_model_inj2	4.664001028e-05	-1.662695588e-05	1.278884197	-0.9733133909	0.07121647148
Kd_cis	-1.662695588e-05	7.744480334e-05	-0.6946218333	-0.4563831336	0.08108232977
dH_cis_binding	1.278884197	-0.6946218333	44842.86589	-21643.5365	-1782.680013
dH_trans_binding	-0.9733133909	-0.4563831336	-21643.5365	44718.63451	-4235.10641
Offset_isomerization_model_inj2	0.07121647148	0.08108232977	-1782.680013	-4235.10641	2630.171948
