MolarRatio,Included/Fitted,PeakHeat,FittedHeat,InjVolume,InjDelay,[cell],[syr]
0.0240410857477149,0,-17533.8416466386,-34087.7426088994,4.99999998737621E-07,150,0.000202510492790049,4.86857212197756E-06
0.120785151028882,1,-33941.4234168651,-33938.0378340626,1.99999999495049E-06,150,0.000200564198303524,2.42251769830778E-05
0.218456771974539,1,-33667.1569326734,-33617.7565099927,1.99999999495049E-06,150,0.00019863649750505,4.33934880412818E-05
0.317055948584688,1,-33058.5621773246,-33132.8510003156,1.99999999495049E-06,150,0.000196727125212506,6.23735052965897E-05
0.416582680859328,1,-32310.1574995771,-32362.4981889284,1.99999999495049E-06,150,0.000194835821262597,8.11652287490015E-05
0.517036968798458,1,-30981.7880047729,-31069.6486804382,1.99999999495049E-06,150,0.000192962330392679,9.97686583985171E-05
0.61841881240208,1,-29038.6532452309,-28796.3022122354,1.99999999495049E-06,150,0.000191106402125905,0.000118183794245137
0.720728211670192,1,-24774.0969947612,-24825.0298966437,1.99999999495049E-06,150,0.000189267790659597,0.00013641063628886
0.823965166602796,1,-18819.2328993794,-18827.4420762277,1.99999999495049E-06,150,0.000187446254756715,0.000154449184529687
0.92812967719989,1,-12177.3223598515,-12289.632696058,1.99999999495049E-06,150,0.000185641557640345,0.000172299438967618
1.03322174346148,1,-7450.72388006257,-7393.5360873307,1.99999999495049E-06,150,0.000183853466891094,0.000189961399602653
1.13924136538755,1,-4588.04267557646,-4495.0051692335,1.99999999495049E-06,150,0.000182081754347311,0.000207435066434792
1.24618854297812,1,-2993.31150741114,-2880.24572793218,1.99999999495049E-06,150,0.000180326196008031,0.000224720439464034
1.35406327623318,1,-2034.65994346735,-1953.20495213708,1.99999999495049E-06,150,0.000178586571938562,0.000241817518690381
1.46286556515273,1,-1084.6051090592,-1390.60744727011,1.99999999495049E-06,150,0.000176862666178638,0.000258726304113831
1.57259540973677,1,-960.826438531845,-1029.6887848495,1.99999999495049E-06,150,0.000175154266653043,0.000275446795734385
1.6832528099853,1,-953.583815524404,-786.570590174799,1.99999999495049E-06,150,0.00017346116508464,0.000291978993552043
1.79483776589832,1,-549.760058495364,-615.873643584802,1.99999999495049E-06,150,0.000171783156909722,0.000308322897566805
1.90735027747583,1,-511.774802712338,-491.750495477875,1.99999999495049E-06,150,0.000170120041195623,0.000324478507778671
# EXPINFO CELLCONC 0.000203000
# EXPINFO SYRINGECONC 0.002019000
# EXPINFO CELLVOLUME 0.000207100
