x,[cell],[syringe],n_injmass,V_inj,Included,230919_PRLR_W392Y_run2.itc_peak,230919_PRLR_W392Y_run2.itc_fit
0.0228938160595295,0.000147144321231089,3.36869502446887E-06,6.98499998236457E-10,4.99999998737621E-07,0,-11230.8480252092,-20385.4765518534
0.11502113753912,0.000145730141762214,1.67620466792272E-05,2.79399999294583E-09,1.99999999495049E-06,1,-20305.9043451092,-20177.5649699737
0.208031750605068,0.00014432947248518,3.00251128249979E-05,2.79399999294583E-09,1.99999999495049E-06,1,-19545.8450896055,-19726.9778327832
0.301925655257371,0.000142942120718399,4.3157893461781E-05,2.79399999294583E-09,1.99999999495049E-06,1,-19041.8424470728,-19053.1932437529
0.396702851496032,0.00014156789742697,5.61603885895766E-05,2.79399999294583E-09,1.99999999495049E-06,1,-18132.5619332382,-18063.1400298811
0.492363339321048,0.000140206617136804,6.90325982083846E-05,2.79399999294583E-09,1.99999999495049E-06,1,-16720.0190026966,-16688.1418750043
0.588907118732421,0.000138858097851183,8.1774522318205E-05,2.79399999294583E-09,1.99999999495049E-06,1,-14894.8929466839,-14914.2784215743
0.686334189730151,0.000137522160969641,9.43861609190378E-05,2.79399999294583E-09,1.99999999495049E-06,1,-12491.7898420937,-12583.6639009077
0.784644552314237,0.000136198631209109,0.000106867514010883,2.79399999294583E-09,1.99999999495049E-06,1,-9166.23189665985,-9014.79705064226
0.883838206484679,0.000134887336527251,0.000119218581593741,2.79399999294583E-09,1.99999999495049E-06,1,-4504.58586683127,-4658.33948872794
0.983915152241478,0.00013358810804791,0.000131439363667611,2.79399999294583E-09,1.99999999495049E-06,1,-2052.4722605825,-2017.83250747597
1.08487538958463,0.000132300779988609,0.000143529860232493,2.79399999294583E-09,1.99999999495049E-06,1,-1089.38312342214,-971.522637213632
1.18671891851414,0.000131025189590028,0.000155490071288388,2.79399999294583E-09,1.99999999495049E-06,1,-590.155816361484,-542.782393084692
1.28944573903001,0.000129761177047405,0.000167319996835296,2.79399999294583E-09,1.99999999495049E-06,1,-434.563863380166,-338.494800344997
1.39305585113224,0.000128508585443802,0.000179019636873216,2.79399999294583E-09,1.99999999495049E-06,1,-116.790840810597,-227.695254754121
1.49754925482082,0.00012726726068516,0.000190588991402148,2.79399999294583E-09,1.99999999495049E-06,1,-132.050430194046,-161.427559620647
1.60292595009576,0.000126037051437107,0.000202028060422092,2.79399999294583E-09,1.99999999495049E-06,1,-194.077057563757,-118.738535396173
1.70918593695705,0.000124817809063456,0.00021333684393305,2.79399999294583E-09,1.99999999495049E-06,1,-55.7778736085563,-89.5940958318497
1.8163292154047,0.000123609387566336,0.000224515341935019,2.79399999294583E-09,1.99999999495049E-06,1,52.019058467583,-68.7411352306439
