x,[cell],[syringe],n_injmass,V_inj,Included,230919_PRLR_W392Y_run3.itc_peak,230919_PRLR_W392Y_run3.itc_fit
0.0228938160595295,0.000147144321231089,3.36869502446887E-06,6.98499998236457E-10,4.99999998737621E-07,0,-10557.6757894608,-20347.6108276143
0.11502113753912,0.000145730141762214,1.67620466792272E-05,2.79399999294583E-09,1.99999999495049E-06,1,-20071.3920820934,-20050.9611750983
0.208031750605068,0.00014432947248518,3.00251128249979E-05,2.79399999294583E-09,1.99999999495049E-06,1,-19464.0117272779,-19481.8118742959
0.301925655257371,0.000142942120718399,4.3157893461781E-05,2.79399999294583E-09,1.99999999495049E-06,1,-18695.5525036859,-18763.4627709969
0.396702851496032,0.00014156789742697,5.61603885895766E-05,2.79399999294583E-09,1.99999999495049E-06,1,-17989.174594332,-17867.9231313233
0.492363339321048,0.000140206617136804,6.90325982083846E-05,2.79399999294583E-09,1.99999999495049E-06,1,-16703.2434827295,-16759.1142888648
0.588907118732421,0.000138858097851183,8.1774522318205E-05,2.79399999294583E-09,1.99999999495049E-06,1,-15339.3367092117,-15353.4189128873
0.686334189730151,0.000137522160969641,9.43861609190378E-05,2.79399999294583E-09,1.99999999495049E-06,1,-13411.7977735227,-13400.7183595094
0.784644552314237,0.000136198631209109,0.000106867514010883,2.79399999294583E-09,1.99999999495049E-06,1,-10386.0208709579,-10369.1510904908
0.883838206484679,0.000134887336527251,0.000119218581593741,2.79399999294583E-09,1.99999999495049E-06,1,-6313.50931292676,-6350.67557843172
0.983915152241478,0.00013358810804791,0.000131439363667611,2.79399999294583E-09,1.99999999495049E-06,1,-3251.44376697986,-3198.4577216445
1.08487538958463,0.000132300779988609,0.000143529860232493,2.79399999294583E-09,1.99999999495049E-06,1,-1569.25811735987,-1625.71550244717
1.18671891851414,0.000131025189590028,0.000155490071288388,2.79399999294583E-09,1.99999999495049E-06,1,-981.93937979986,-917.615884735043
1.28944573903001,0.000129761177047405,0.000167319996835296,2.79399999294583E-09,1.99999999495049E-06,1,-543.439235950489,-571.614978030385
1.39305585113224,0.000128508585443802,0.000179019636873216,2.79399999294583E-09,1.99999999495049E-06,1,-435.853238938142,-383.556302427842
1.49754925482082,0.00012726726068516,0.000190588991402148,2.79399999294583E-09,1.99999999495049E-06,1,-185.008479834876,-271.697248752949
1.60292595009576,0.000126037051437107,0.000202028060422092,2.79399999294583E-09,1.99999999495049E-06,1,-42.7926744482648,-200.232450233677
1.70918593695705,0.000124817809063456,0.00021333684393305,2.79399999294583E-09,1.99999999495049E-06,1,-238.867883824095,-151.90669538502
1.8163292154047,0.000123609387566336,0.000224515341935019,2.79399999294583E-09,1.99999999495049E-06,1,-213.081723309584,-117.689469005875
