	N_B_exp_1	Kd	dH_reaction	Offset_exp_1
N_B_exp_1	2.596107802e-06	2.883204192e-05	-0.02238164391	0.0268286775
Kd	2.883204192e-05	0.01093932957	-11.30111408	2.191277555
dH_reaction	-0.02238164391	-11.30111408	18259.64517	-3604.756779
Offset_exp_1	0.0268286775	2.191277555	-3604.756779	1164.989411
