MolarRatio,Included,PeakHeat,InjVolume,InjDelay
0.02390,0,-11179.262,5.00E-007,600
0.12009,1,-23535.775,2.00E-006,600
0.21721,1,-24216.539,2.00E-006,600
0.31524,1,-22662.036,2.00E-006,600
0.41420,1,-25024.789,2.00E-006,600
0.51408,1,-25493.580,2.00E-006,600
0.61488,1,-22891.583,2.00E-006,600
0.71660,1,-23281.928,2.00E-006,600
0.81925,1,-22025.571,2.00E-006,600
0.92282,1,-18673.085,2.00E-006,600
1.02731,1,-7315.258,2.00E-006,600
1.13272,1,-1553.816,2.00E-006,600
1.23906,1,-319.456,2.00E-006,600
1.34631,1,-566.701,2.00E-006,600
1.45449,1,-331.346,2.00E-006,600
1.56359,1,-46.014,2.00E-006,600
1.67362,1,-355.169,2.00E-006,600
1.78457,1,94.231,2.00E-006,600
1.89643,1,-85.452,2.00E-006,600
#ITCSIM METADATA LIST
#EXPINFO CELLCONC 180.00 uM
#EXPINFO SYRINGECONC 1780.00 uM
#EXPINFO CELLVOLUME 0.000207100 L
