MolarRatio,Included,PeakHeat,InjVolume,InjDelay
0.02167,0,-7743.437,5.00E-007,250
0.11325,0,-25172.748,2.10E-006,250
0.20576,1,-18214.682,2.10E-006,250
0.29918,1,-18332.408,2.10E-006,250
0.39353,1,-20204.259,2.10E-006,250
0.48880,1,-19307.681,2.10E-006,250
0.58499,1,-17203.446,2.10E-006,250
0.68210,1,-17684.225,2.10E-006,250
0.78013,1,-17542.134,2.10E-006,250
0.87909,1,-16460.273,2.10E-006,250
0.97897,1,-15771.165,2.10E-006,250
1.07977,1,-11121.950,2.10E-006,250
1.18149,1,-8136.970,2.10E-006,250
1.28413,1,-3843.803,2.10E-006,250
1.38770,1,-1775.069,2.10E-006,250
1.49218,1,-1794.123,2.10E-006,250
1.59759,1,-1114.953,2.10E-006,250
1.70392,1,-693.533,2.10E-006,250
1.81117,1,-108.260,2.10E-006,250
#ITCSIM METADATA LIST
#EXPINFO CELLCONC 39.60 uM
#EXPINFO SYRINGECONC 355.00 uM
#EXPINFO CELLVOLUME 0.000207100 L
