MolarRatio,Included/Fitted,PeakHeat,FittedHeat,InjVolume,InjDelay,[cell],[syr]
0.02404,0,-19405.480,-34261.969,5.00E-007,150,0.00020251,0.00000487
0.12079,1,-34137.631,-34109.079,2.00E-006,150,0.00020056,0.00002423
0.21846,1,-33712.702,-33780.572,2.00E-006,150,0.00019864,0.00004339
0.31706,1,-33188.201,-33279.918,2.00E-006,150,0.00019673,0.00006237
0.41658,1,-32729.158,-32478.106,2.00E-006,150,0.00019484,0.00008117
0.51704,1,-31032.443,-31120.287,2.00E-006,150,0.00019296,0.00009977
0.61842,1,-28679.430,-28715.537,2.00E-006,150,0.00019111,0.00011818
0.72073,1,-24480.543,-24527.302,2.00E-006,150,0.00018927,0.00013641
0.82397,1,-18467.045,-18361.098,2.00E-006,150,0.00018745,0.00015445
0.92813,1,-11848.160,-11939.288,2.00E-006,150,0.00018564,0.00017230
1.03322,1,-7372.949,-7326.718,2.00E-006,150,0.00018385,0.00018996
1.13924,1,-4699.611,-4651.116,2.00E-006,150,0.00018208,0.00020744
1.24619,1,-3045.866,-3165.822,2.00E-006,150,0.00018033,0.00022472
1.35406,1,-2287.890,-2310.216,2.00E-006,150,0.00017859,0.00024182
1.46287,1,-1828.459,-1788.292,2.00E-006,150,0.00017686,0.00025873
1.57260,1,-1556.446,-1451.757,2.00E-006,150,0.00017515,0.00027545
1.68325,1,-1129.620,-1224.030,2.00E-006,150,0.00017346,0.00029198
1.79484,1,-1107.771,-1063.507,2.00E-006,150,0.00017178,0.00030832
1.90735,1,-935.103,-946.384,2.00E-006,150,0.00017012,0.00032448
# EXPINFO CELLCONC 0.000203000
# EXPINFO SYRINGECONC 0.002019000
# EXPINFO CELLVOLUME 0.000207100
