MolarRatio,Included,PeakHeat,InjVolume,InjDelay
0.02404,0,-18927.733,5.00E-007,150
0.12079,1,-33659.884,2.00E-006,150
0.21846,1,-33234.955,2.00E-006,150
0.31706,1,-32710.454,2.00E-006,150
0.41658,1,-32251.410,2.00E-006,150
0.51704,1,-30554.695,2.00E-006,150
0.61842,1,-28201.683,2.00E-006,150
0.72073,1,-24002.796,2.00E-006,150
0.82397,1,-17989.298,2.00E-006,150
0.92813,1,-11370.413,2.00E-006,150
1.03322,1,-6895.201,2.00E-006,150
1.13924,1,-4221.864,2.00E-006,150
1.24619,1,-2568.118,2.00E-006,150
1.35406,1,-1810.143,2.00E-006,150
1.46287,1,-1350.712,2.00E-006,150
1.57260,1,-1078.699,2.00E-006,150
1.68325,1,-651.873,2.00E-006,150
1.79484,1,-630.023,2.00E-006,150
1.90735,1,-457.356,2.00E-006,150
#ITCSIM METADATA LIST
#EXPINFO CELLCONC 203.00 ± 5.00 uM
#EXPINFO SYRINGECONC 2019.00 ± 15.00 uM
#EXPINFO CELLVOLUME 0.000207100 L
