DH,INJV,Xt,Mt,XMt,NDH,DY,Fit
-19405.4799263326,0.499999998737621,0.0,0.2 ± 0.0,0.0240410857477149,--,--,--
-34137.6310047409,1.99999999495049,0.00486857212197756,0.202510492790049,0.120785151028882,-19405.4799263326,--,--
-33712.7019253369,1.99999999495049,0.0242251769830778,0.200564198303524,0.218456771974539,-34137.6310047409,--,--
-33188.2014197875,1.99999999495049,0.0433934880412818,0.19863649750505,0.317055948584688,-33712.7019253369,--,--
-32729.1575048567,1.99999999495049,0.0623735052965897,0.196727125212506,0.416582680859328,-33188.2014197875,--,--
-31032.4426549045,1.99999999495049,0.0811652287490015,0.194835821262597,0.517036968798458,-32729.1575048567,--,--
-28679.4303001325,1.99999999495049,0.0997686583985171,0.192962330392679,0.61841881240208,-31032.4426549045,--,--
-24480.5432611334,1.99999999495049,0.118183794245137,0.191106402125905,0.720728211670192,-28679.4303001325,--,--
-18467.0453620512,1.99999999495049,0.13641063628886,0.189267790659597,0.823965166602796,-24480.5432611334,--,--
-11848.1600391176,1.99999999495049,0.154449184529687,0.187446254756715,0.92812967719989,-18467.0453620512,--,--
-7372.94877852795,1.99999999495049,0.172299438967618,0.185641557640345,1.03322174346148,-11848.1600391176,--,--
-4699.61094748542,1.99999999495049,0.189961399602653,0.183853466891094,1.13924136538755,-7372.94877852795,--,--
-3045.86578070629,1.99999999495049,0.207435066434792,0.182081754347311,1.24618854297812,-4699.61094748542,--,--
-2287.89046180834,1.99999999495049,0.224720439464034,0.180326196008031,1.35406327623318,-3045.86578070629,--,--
-1828.45914447761,1.99999999495049,0.241817518690381,0.178586571938562,1.46286556515273,-2287.89046180834,--,--
-1556.44590075628,1.99999999495049,0.258726304113831,0.176862666178638,1.57259540973677,-1828.45914447761,--,--
-1129.62035146415,1.99999999495049,0.275446795734385,0.175154266653043,1.6832528099853,-1556.44590075628,--,--
-1107.77085610696,1.99999999495049,0.291978993552043,0.17346116508464,1.79483776589832,-1129.62035146415,--,--
-935.102903641703,1.99999999495049,0.308322897566805,0.171783156909722,1.90735027747583,-1107.77085610696,--,--
 ,--,0.324478507778671,0.170120041195623,--, , , 
