DH,INJV,Xt,Mt,XMt,NDH,DY,Fit
-17492.0688411608,0.499999998737621,0.0,0.2 ± 0.0,0.0240410857477149,--,--,--
-34330.4254128194,1.99999999495049,0.00486857212197756,0.202510492790049,0.120785151028882,-17492.0688411608,--,--
-33893.6152423704,1.99999999495049,0.0242251769830778,0.200564198303524,0.218456771974539,-34330.4254128194,--,--
-33291.2243310357,1.99999999495049,0.0433934880412818,0.19863649750505,0.317055948584688,-33893.6152423704,--,--
-32318.1631996854,1.99999999495049,0.0623735052965897,0.196727125212506,0.416582680859328,-33291.2243310357,--,--
-30724.6415378501,1.99999999495049,0.0811652287490015,0.194835821262597,0.517036968798458,-32318.1631996854,--,--
-28074.8100231264,1.99999999495049,0.0997686583985171,0.192962330392679,0.61841881240208,-30724.6415378501,--,--
-23284.6933161224,1.99999999495049,0.118183794245137,0.191106402125905,0.720728211670192,-28074.8100231264,--,--
-16716.6333861906,1.99999999495049,0.13641063628886,0.189267790659597,0.823965166602796,-23284.6933161224,--,--
-10392.2549714423,1.99999999495049,0.154449184529687,0.187446254756715,0.92812967719989,-16716.6333861906,--,--
-6159.32607271739,1.99999999495049,0.172299438967618,0.185641557640345,1.03322174346148,-10392.2549714423,--,--
-3893.22294169508,1.99999999495049,0.189961399602653,0.183853466891094,1.13924136538755,-6159.32607271739,--,--
-2682.2877274172,1.99999999495049,0.207435066434792,0.182081754347311,1.24618854297812,-3893.22294169508,--,--
-1921.119491995,1.99999999495049,0.224720439464034,0.180326196008031,1.35406327623318,-2682.2877274172,--,--
-1492.87136505282,1.99999999495049,0.241817518690381,0.178586571938562,1.46286556515273,-1921.119491995,--,--
-1270.54653333627,1.99999999495049,0.258726304113831,0.176862666178638,1.57259540973677,-1492.87136505282,--,--
-1052.72818256054,1.99999999495049,0.275446795734385,0.175154266653043,1.6832528099853,-1270.54653333627,--,--
-948.579101545088,1.99999999495049,0.291978993552043,0.17346116508464,1.79483776589832,-1052.72818256054,--,--
-771.035284455343,1.99999999495049,0.308322897566805,0.171783156909722,1.90735027747583,-948.579101545088,--,--
 ,--,0.324478507778671,0.170120041195623,--, , , 
