x,[cell],[syringe],n_injmass,V_inj,Included,230907_PRLR_P393V_run3.itc_peak,230907_PRLR_P393V_run3.itc_fit
0.0241720687656032,0.000213483978567049,5.16034941027727E-06,1.07000011214921E-09,4.99999998737621E-07,0,-5278.83989030731,-10954.4716107255
0.121443224618564,0.000211432219743485,2.56770105539096E-05,4.28000044859685E-09,1.99999999495049E-06,1,-10818.0305163823,-10787.1070411797
0.2196469897364,0.000209400062148709,4.5994093301579E-05,4.28000044859685E-09,1.99999999495049E-06,1,-10452.2441105964,-10470.6430193912
0.318783364119113,0.000207387226231112,6.61115976532855E-05,4.28000044859685E-09,1.99999999495049E-06,1,-10056.1358346275,-10075.853438006
0.418852347766702,0.000205393437729868,8.60295236090292E-05,4.28000044859685E-09,1.99999999495049E-06,1,-9564.62667441208,-9586.01023996304
0.519853940679167,0.000203418427550351,0.00010574787116881,4.28000044859685E-09,1.99999999495049E-06,1,-8997.06039023636,-8986.23081201347
0.621788142856508,0.000201461931643067,0.000125266640332628,4.28000044859685E-09,1.99999999495049E-06,1,-8290.30360649861,-8269.28463118374
0.724654954298726,0.000199523690885966,0.000144585831100483,4.28000044859685E-09,1.99999999495049E-06,1,-7447.73462816455,-7443.5227015274
0.828454375005819,0.000197603450970036,0.000163705443472375,4.28000044859685E-09,1.99999999495049E-06,1,-6546.39487335737,-6539.30756268441
0.933186404977789,0.000195700962288076,0.000182625477448304,4.28000044859685E-09,1.99999999495049E-06,1,-5611.80799071481,-5607.7747368054
1.03885104421463,0.000193815979826527,0.00020134593302827,4.28000044859685E-09,1.99999999495049E-06,1,-4677.83267944547,-4708.63274062203
1.14544829271636,0.000191948263060285,0.000219866810212273,4.28000044859685E-09,1.99999999495049E-06,1,-3893.48538084082,-3892.52332012761
1.25297815048295,0.000190097575850389,0.000238188109000314,4.28000044859685E-09,1.99999999495049E-06,1,-3205.67965971806,-3188.84183407468
1.36144061751443,0.000188263686344494,0.000256309829392391,4.28000044859685E-09,1.99999999495049E-06,1,-2564.74733562314,-2604.65197955876
1.47083569381078,0.000186446366880042,0.000274231971388506,4.28000044859685E-09,1.99999999495049E-06,1,-2161.23347857137,-2131.38414171593
1.581163379372,0.000184645393890044,0.000291954534988657,4.28000044859685E-09,1.99999999495049E-06,1,-1746.51711295356,-1753.00129493832
1.69242367419811,0.000182860547811399,0.000309477520192846,4.28000044859685E-09,1.99999999495049E-06,1,-1490.58235571711,-1451.91654994072
1.80461657828908,0.000181091612995656,0.000326800927001072,4.28000044859685E-09,1.99999999495049E-06,1,-1228.14981201433,-1212.09388301224
1.91774209164494,0.000179338377622162,0.000343924755413335,4.28000044859685E-09,1.99999999495049E-06,1,-976.432729765906,-1020.16544626003
