DH,INJV,Xt,Mt,XMt,NDH,DY,Fit
-18017.4189291825,0.499999998737621,0.0,0.2 ± 0.0,0.0240410857477149,--,--,--
-34425.0006994091,1.99999999495049,0.00486857212197756,0.202510492790049,0.120785151028882,-18017.4189291825,--,--
-34150.7342152173,1.99999999495049,0.0242251769830778,0.200564198303524,0.218456771974539,-34425.0006994091,--,--
-33542.1394598686,1.99999999495049,0.0433934880412818,0.19863649750505,0.317055948584688,-34150.7342152173,--,--
-32793.734782121,1.99999999495049,0.0623735052965897,0.196727125212506,0.416582680859328,-33542.1394598686,--,--
-31465.3652873168,1.99999999495049,0.0811652287490015,0.194835821262597,0.517036968798458,-32793.734782121,--,--
-29522.2305277749,1.99999999495049,0.0997686583985171,0.192962330392679,0.61841881240208,-31465.3652873168,--,--
-25257.6742773052,1.99999999495049,0.118183794245137,0.191106402125905,0.720728211670192,-29522.2305277749,--,--
-19302.8101819234,1.99999999495049,0.13641063628886,0.189267790659597,0.823965166602796,-25257.6742773052,--,--
-12660.8996423954,1.99999999495049,0.154449184529687,0.187446254756715,0.92812967719989,-19302.8101819234,--,--
-7934.30116260652,1.99999999495049,0.172299438967618,0.185641557640345,1.03322174346148,-12660.8996423954,--,--
-5071.61995812041,1.99999999495049,0.189961399602653,0.183853466891094,1.13924136538755,-7934.30116260652,--,--
-3476.88878995509,1.99999999495049,0.207435066434792,0.182081754347311,1.24618854297812,-5071.61995812041,--,--
-2518.2372260113,1.99999999495049,0.224720439464034,0.180326196008031,1.35406327623318,-3476.88878995509,--,--
-1568.18239160315,1.99999999495049,0.241817518690381,0.178586571938562,1.46286556515273,-2518.2372260113,--,--
-1444.40372107579,1.99999999495049,0.258726304113831,0.176862666178638,1.57259540973677,-1568.18239160315,--,--
-1437.16109806835,1.99999999495049,0.275446795734385,0.175154266653043,1.6832528099853,-1444.40372107579,--,--
-1033.33734103931,1.99999999495049,0.291978993552043,0.17346116508464,1.79483776589832,-1437.16109806835,--,--
-995.352085256287,1.99999999495049,0.308322897566805,0.171783156909722,1.90735027747583,-1033.33734103931,--,--
 ,--,0.324478507778671,0.170120041195623,--, , , 
